10,164,18.8,14.57685776,7.256040587,21.81284312,68.7
15,164,23.3,26.9675231,15.79266707,37.80198518,88
20,164,28.7,40.95774745,28.52374449,55.26870781,97.1
25,164,37.2,56.48919648,42.3769094,71.0005919,99.9
30,164,44.9,73.96590512,58.73379245,87.72952776,99.9
35,164,56.8,92.69566167,79.7157721,104.6601932,99.9
40,164,89.9,113.3990874,108.0020833,118.9029147,99.9
41,164,99.9,117.5543595,117.5543595,117.5543595,99.9
40,164,80.0,115.52086188758288,114.10654889181428,117.32648677941397,80.0
41,164,80.0,117.55435950667412,117.55435950667412,117.55435950667412,80.0
10,164,19.3,14.475126737228369,7.256040586986818,21.68985938174796,66.0
15,164,24.9,26.72198914520366,16.066528353484873,37.98455936298326,89.8
20,164,29.1,40.57963527062367,27.66992952647332,54.32793020169274,97.7
25,164,35.2,56.80764226537907,42.56782822743016,71.43192703546501,99.8
30,164,43.5,74.33685602788199,60.86393328564955,88.50412443308315,99.9
35,164,56.6,93.09389174548512,80.79147784795835,105.60442377774035,99.9
40,164,90.8,113.07498067480692,107.89027991436484,118.90291470355132,99.9
41,164,99.9,117.55435950667409,117.55435950667412,117.55435950667412,99.9
